case,time_s,x_mm,rear_y_mm,front_y_mm,yaw_deg,raw_offset_mm,filtered_track_err_mm,rear_est_mm,w_cmd_deg_s,left_cmd_mm_s,right_cmd_mm_s,left_act_mm_s,right_act_mm_s,sensor_bitmap,sensor_valid,motor_saturated
contract_ideal_offset,0.0,0.0,30.0,30.0,0.0,-32.45,6.490000000000001,6.490000000000001,-1.2980000000000003,198.47082977586516,201.52917022413484,0.0,0.0,3.0,1.0,0.0
contract_ideal_offset,0.01,1.9999999853732116,29.999796110637572,29.9635491130422,-0.012980000000000111,-32.45,11.682000000000002,11.718246997595376,-2.320285399519075,197.2664781629897,202.7335218370103,198.47082977586516,201.52917022413484,3.0,1.0,0.0
contract_ideal_offset,0.02,3.999999804743528,29.998978553613785,29.89793697073225,-0.0361828539951909,-32.45,15.835600000000003,15.936641582881538,-3.122199179384964,196.32174574812504,203.67825425187496,197.2664781629897,202.7335218370103,3.0,1.0,0.0
contract_ideal_offset,0.03,5.999999011595597,29.99722510008968,29.808995304977266,-0.0674048457890406,-32.45,19.158480000000004,19.346709795112417,-3.7480132366022105,195.58447593137495,204.41552406862505,196.32174574812504,203.67825425187496,3.0,1.0,0.0
contract_ideal_offset,0.04,7.999996813026433,29.994283491678065,29.701389542511887,-0.10488497815506263,-32.45,21.816784000000006,22.109677949166183,-4.233142629154124,195.01294633049434,204.98705366950566,195.58447593137495,204.41552406862505,3.0,1.0,0.0
contract_ideal_offset,0.05,9.999992089173134,29.989957378250352,29.578852075308312,-0.14721640444660397,-25.2,22.493427200000003,22.904532502942043,-4.315916972584522,194.91543010453435,205.08456989546565,195.01294633049434,204.98705366950566,2.0,1.0,0.0
contract_ideal_offset,0.06,11.999983583679963,29.984140621993053,29.452512706658524,-0.1903755741724493,-25.2,23.034741760000003,23.566369675334528,-4.370597901556497,194.8510106527532,205.1489893472468,194.91543010453435,205.08456989546565,2.0,1.0,0.0
contract_ideal_offset,0.07,13.999970096525864,29.976808745509107,29.32313155255186,-0.23408155318801419,-25.2,23.467793408000002,24.12147060095725,-4.402947324453025,194.81289988675832,205.18710011324168,194.8510106527532,205.1489893472468,2.0,1.0,0.0
contract_ideal_offset,0.08,15.9999504114157,29.96794617373887,29.19131672784779,-0.2781110264325446,-25.2,23.814234726400002,24.59086417229108,-4.4175729868796365,194.79566943414582,205.20433056585418,194.81289988675832,205.18710011324168,2.0,1.0,0.0
contract_ideal_offset,0.09,17.99992331298554,29.957544403950966,29.05755474466374,-0.3222867563013408,-25.2,24.09138778112,24.991377440407227,-4.4181593267390324,194.79497866877279,205.20502133122721,194.79566943414582,205.20433056585418,2.0,1.0,0.0
contract_ideal_offset,0.1,19.99988759965315,29.94560054232908,28.92223483129018,-0.3664683495687313,-25.2,24.313110224896,25.3364759359349,-4.4076521579632635,194.8073571353613,205.1926428646387,194.79497866877279,205.20502133122721,2.0,1.0,0.0
contract_ideal_offset,0.11,21.99984209299443,29.932116133830593,28.785668387520968,-0.4105448711483637,-25.2,24.490488179916802,25.63693592622643,-4.388406417178231,194.83003048955996,205.16996951044004,194.8073571353613,205.1926428646387,2.0,1.0,0.0
contract_ideal_offset,0.12,23.999785644397516,29.917096226657787,28.648104549095283,-0.45442893532014583,-25.2,24.632390543933443,25.901382221495947,-4.362304360722927,194.8607812503613,205.1392187496387,194.83003048955996,205.16996951044004,2.0,1.0,0.0
contract_ideal_offset,0.13,25.999717139615864,29.900548624413858,28.5097426394037,-0.4980519789273756,-25.2,24.745912435146757,26.136718420156914,-4.330850121962107,194.897837402392,205.102162597608,194.8607812503613,205.1392187496387,2.0,1.0,0.0
contract_ideal_offset,0.14,27.99963550172212,29.882483288401325,28.370742130980492,-0.5413604801469963,-25.2,24.836729948117405,26.348471105538238,-4.295245356843054,194.93978327809108,205.06021672190892,194.897837402392,205.102162597608,2.0,1.0,0.0
